,streams,terrestrial aboveground,terrestrial belowground,lakes,marine
fw_num,28.0,21.0,52.0,55.0,134.0
log_num_nodes_min,1.3010299956639813,1.1139433523068367,1.9493900066449128,1.1139433523068367,1.0
log_num_nodes_25quant,1.5489917165088145,1.3617278360175928,2.0625697047543072,1.4697596263093091,1.2787536009528289
log_num_nodes_median,1.9214917350611087,1.9822712330395684,2.0881324710570732,1.568201724066995,1.4471580313422192
log_num_nodes_mean,1.776486585591869,1.7975941705853609,2.0869114582774846,1.5608906573663008,1.5031810071430596
log_num_nodes_75quant,2.0085383551044664,2.12057393120585,2.12871332586616,1.6989700043360187,1.6812412373755872
log_num_nodes_max,2.103803720955957,2.3242824552976926,2.2253092817258633,1.8750612633917,2.7151673578484576
avg_degree_min,3.3,1.6154,3.2613,1.2308,1.1538
avg_degree_25quant,4.6926,2.9091,11.913025000000001,2.5,2.7401
avg_degree_median,6.1255,7.9375,14.717749999999999,3.875,4.4259
avg_degree_mean,9.404371428571428,7.006842857142857,14.20214230769231,3.978212727272727,5.366468656716418
avg_degree_75quant,9.491075,9.8583,16.319975,5.05215,6.708125000000001
avg_degree_max,27.4567,13.237,21.5163,10.4118,32.6306
connectance_min,0.048153214774281805,0.05951241740715425,0.02964782964782965,0.0584045584045584,0.0231184512234058
connectance_25quant,0.06479998698043811,0.07638709677419354,0.10854007255970458,0.08699982372642341,0.12428984850101354
connectance_median,0.1775785167184472,0.08276084156290253,0.11927458419527158,0.09927884615384616,0.1515969410706253
connectance_mean,0.14863480503033938,0.09631957312943731,0.11498634621896758,0.1055860358115857,0.15143522937234807
connectance_75quant,0.20152801358234296,0.1286231884057971,0.1262235908514349,0.11356812474565506,0.1754935669920142
connectance_max,0.2327838827838828,0.15,0.1580499653018737,0.3155080213903743,0.2757352941176471
clustering_coefficient_min,0.001,0.0,0.146,0.0,0.0
clustering_coefficient_25quant,0.034999999999999996,0.066,0.5469999999999999,0.0905,0.11224999999999999
clustering_coefficient_median,0.101,0.242,0.582,0.17800000000000002,0.22
clustering_coefficient_mean,0.159,0.1907142857142857,0.5496538461538462,0.1695272727272727,0.22614179104477614
clustering_coefficient_75quant,0.2945,0.28600000000000003,0.60975,0.237,0.3195
clustering_coefficient_max,0.45899999999999996,0.319,0.674,0.623,0.591
modularity_min,0.015,0.188,0.172,0.043,0.040999999999999995
modularity_25quant,0.0795,0.228,0.221,0.243,0.13025
modularity_median,0.14500000000000002,0.27,0.2445,0.301,0.16849999999999998
modularity_mean,0.1350357142857143,0.2784761904761905,0.24632692307692314,0.2889636363636363,0.1847910447761194
modularity_75quant,0.187,0.33299999999999996,0.26925,0.357,0.23
modularity_max,0.278,0.36,0.308,0.41100000000000003,0.457
reciprocated_edge_min,0.0,0.0,0.0,0.0,0.0
reciprocated_edge_25quant,0.0,0.0,0.0325,0.0,0.0
reciprocated_edge_median,0.003,0.018000000000000002,0.052500000000000005,0.017,0.0055
reciprocated_edge_mean,0.01925,0.02085714285714286,0.053730769230769235,0.021472727272727275,0.017664179104477613
reciprocated_edge_75quant,0.0195,0.033,0.07825,0.028999999999999998,0.022000000000000002
reciprocated_edge_max,0.162,0.054000000000000006,0.11199999999999999,0.111,0.204
assort_met_min,-0.115,-0.152,0.0,-0.21100000000000002,-0.175
assort_met_25quant,-0.08574999999999999,0.0,0.022000000000000002,-0.1065,-0.0605
assort_met_median,-0.0615,0.0,0.024,-0.057,-0.0065
assort_met_mean,-0.061,0.002952380952380955,0.023634615384615386,-0.06678181818181818,-0.03185820895522388
assort_met_75quant,-0.040249999999999994,0.048,0.027000000000000003,-0.006500000000000001,0.0
assort_met_max,0.0,0.077,0.042,0.009000000000000001,0.14400000000000002
assort_mov_min,-0.11199999999999999,-0.131,0.0,-0.069,-0.21100000000000002
